         MJD           Ac           As           X0           Y0           dX           dY
 48160.00000    -162.1097      16.8106      62.1257     -47.7060     -37.3080      81.4261 
 48161.00000    -161.5259      16.9709      61.5498     -47.4111     -35.4729      82.8396 
 48162.00000    -160.6364      17.4318      60.5537     -47.0987     -33.6186      84.2006 
 48163.00000    -159.9342      17.9906      59.6599     -46.9315     -31.7015      85.5665 
 48164.00000    -159.5680      18.4787      59.0961     -46.9184     -29.7104      86.9353 
 48165.00000    -159.1666      18.7975      58.6688     -46.8119     -27.6714      88.2167 
 48166.00000    -158.7986      18.6875      58.5726     -46.5580     -25.6424      89.3613 
 48167.00000    -158.7830      17.9148      59.1629     -46.2287     -23.6593      90.4221 
 48168.00000    -158.9308      16.6978      60.1993     -45.7159     -21.6803      91.5195 
 48169.00000    -158.9740      15.5696      61.1701     -45.0789     -19.6338      92.7102 
 48170.00000    -159.3306      15.1555      61.7958     -45.1040     -17.5302      93.9044 
 48171.00000    -160.1851      15.3074      62.1684     -45.8998     -15.4741      95.0443 
 48172.00000    -161.1845      15.4829      62.4454     -46.8579     -13.5342      96.1360 
 48173.00000    -161.9692      15.4638      62.6958     -47.5608     -11.6256      97.1785 
 48174.00000    -162.0482      15.1271      62.9722     -47.5361      -9.5542      98.1634 
 48175.00000    -161.4818      14.4951      63.3395     -46.8508      -7.3009      99.0821 
 48176.00000    -160.7863      13.6542      63.8692     -45.9832      -5.0096      99.9427 
 48177.00000    -160.1343      12.4198      64.6549     -44.9512      -2.8421     100.7930 
 48178.00000    -159.6499      11.0308      65.5543     -43.9653      -0.7965     101.6621 
 48179.00000    -159.4480      10.2199      66.1579     -43.4749       1.3170     102.5517 
 48180.00000    -159.4463      10.1932      66.2781     -43.4988       3.5547     103.4461 
 48181.00000    -159.3781      10.6144      65.9881     -43.6367       5.8272     104.3318 
 48182.00000    -159.1585      11.1892      65.4490     -43.6829       8.0701     105.1939 
 48183.00000    -159.0352      11.7964      64.8868     -43.8254      10.2935     106.0110 
 48184.00000    -159.4650      12.3749      64.5939     -44.4851      12.5558     106.7573 
 48185.00000    -160.1895      12.2677      64.9542     -45.1962      14.7544     107.4182 
 48186.00000    -160.7067      11.2790      65.8789     -45.4128      16.8043     108.0328 
 48187.00000    -161.1533      10.3584      66.6861     -45.6317      18.8393     108.6031 
 48188.00000    -161.8227      10.2184      66.9506     -46.3574      21.0014     109.1408 
 48189.00000    -162.7750      10.4398      67.0708     -47.3524      23.2938     109.7726 
 48190.00000    -163.7703      10.5824      67.2866     -48.2913      25.6313     110.4460 
 48191.00000    -164.2306      10.7771      67.1982     -48.8288      27.9133     110.9977 
 48192.00000    -164.2891      10.6835      67.1932     -48.9312      30.1413     111.4814 
 48193.00000    -164.2234       9.9801      67.7228     -48.6715      32.3603     112.0096 
 48194.00000    -163.9997       9.0279      68.4905     -48.1360      34.6180     112.5813 
 48195.00000    -163.4448       8.4042      68.9502     -47.3285      36.9614     113.1755 
 48196.00000    -162.5227       8.2517      68.9804     -46.2752      39.4052     113.7468 
 48197.00000    -161.3101       8.4020      68.7536     -45.0511      41.9296     114.2349 
 48198.00000    -159.9019       8.6891      68.4159     -43.7299      44.4890     114.6103 
 48199.00000    -158.3555       9.0487      67.9750     -42.3475      47.0090     114.8745 
 48200.00000    -156.9233       9.6396      67.2247     -41.1307      49.3894     115.0735 
 48201.00000    -156.0066      10.6077      66.0731     -40.4663      51.6242     115.2316 
 48202.00000    -155.9262      11.8118      64.7248     -40.6561      53.7553     115.3316 
 48203.00000    -156.6302      12.9880      63.4591     -41.6125      55.8440     115.3707 
 48204.00000    -157.6124      13.8302      62.5698     -42.7642      57.9715     115.3870 
 48205.00000    -157.7572      13.9526      62.4246     -42.8851      60.2448     115.4729 
 48206.00000    -157.2610      13.2537      63.1402     -42.1898      62.6214     115.6279 
 48207.00000    -157.2073      11.9506      64.5338     -41.8824      65.0253     115.7777 
 48208.00000    -157.5682      10.5568      66.1048     -42.0379      67.4875     115.8776 
 48209.00000    -157.8310       9.5245      67.3524     -42.2068      69.9995     115.8892 
 48210.00000    -157.7461       9.0297      68.0475     -42.1590      72.5122     115.7822 
 48211.00000    -157.2460       9.0351      68.1966     -41.8030      74.9811     115.5561 
 48212.00000    -156.3870       8.9279      68.4051     -41.0579      77.3807     115.3263 
 48213.00000    -155.2427       8.4053      68.9818     -39.9367      79.7019     115.1633 
 48214.00000    -153.9189       7.5021      69.9061     -38.5551      81.9493     115.0753 
 48215.00000    -152.8959       6.8613      70.5750     -37.4708      84.1764     114.9734 
 48216.00000    -152.5385       6.9606      70.5279     -37.0921      86.4334     114.7745 
 48217.00000    -152.8561       7.7478      69.7972     -37.4099      88.7283     114.4672 
 48218.00000    -153.5568       8.7768      68.7928     -38.0873      91.0276     114.1045 
 48219.00000    -154.1454       9.4011      68.1348     -38.5937      93.2723     113.7785 
 48220.00000    -154.2475       9.5091      68.0224     -38.6530      95.5028     113.4244 
 48221.00000    -153.8336       9.3602      68.2583     -38.2996      97.7558     112.9694 
 48222.00000    -153.0707       9.1297      68.6475     -37.6629     100.0128     112.4378 
 48223.00000    -152.4491       9.2234      68.6590     -37.0479     102.2070     111.9499 
 48224.00000    -152.2567       9.7202      68.1297     -36.6843     104.3067     111.5312 
 48225.00000    -152.4518       9.9280      67.7299     -36.7903     106.3096     111.0330 
 48226.00000    -152.7400       9.5097      67.8997     -37.2764     108.2843     110.3346 
